project_id,start_date,end_date,duration_days,budget_kusd,actual_cost_kusd,team_size,complexity,scope_change,satisfaction,success
P0063,2021-12-20,2022-06-28,190,202.78,227.59,14,6,0,4.2,0
P0064,2020-12-03,2021-09-14,285,203.01,220.27,11,9,0,3.43,1
P0065,2022-05-28,2023-05-15,352,128.03,133.52,37,2,1,4.84,0
P0066,2022-12-12,2023-05-18,157,180.83,229.19,27,1,0,3.74,1
P0067,2022-03-02,2022-04-18,47,244.31,289.82,25,10,0,3.41,1
P0068,2020-08-04,2021-06-10,310,188.31,185.89,23,2,1,4.98,1
P0069,2022-02-02,2022-10-12,252,202.22,174.62,23,7,0,4.75,1
P0070,2020-07-06,2020-09-27,83,141.19,154.72,40,3,1,4.27,1
P0071,2021-01-14,2021-04-11,87,222.28,229.47,33,10,0,3.8,1
P0072,2021-05-07,2022-04-24,352,126.91,159.45,22,2,0,4.11,1
P0073,2022-11-30,2023-06-21,203,214.49,246.27,6,7,0,3.97,1
P0074,2020-01-15,2020-11-19,309,190.64,212.49,5,2,0,4.56,1
P0075,2020-03-05,2020-07-26,143,112.84,113.05,9,3,0,4.9,1
P0076,2021-06-04,2022-04-17,317,253.47,220.18,24,7,0,4.41,1
P0077,2021-10-09,2022-04-07,180,191.81,186.11,15,4,0,4.77,1
P0078,2022-12-22,2023-05-27,156,293.04,314.0,46,1,0,4.91,0
P0079,2021-08-15,2022-02-15,184,273.91,202.85,6,5,0,5.0,1
P0080,2021-01-26,2021-11-24,302,156.03,185.09,7,9,0,3.65,1
P0081,2021-02-22,2021-07-05,133,160.41,210.15,27,8,0,3.63,1
P0082,2020-10-15,2021-09-08,328,141.4,100.15,16,9,0,4.91,1
P0083,2021-01-13,2021-10-15,275,120.68,95.33,24,10,0,4.67,0
P0084,2020-08-18,2021-03-11,205,178.89,185.05,9,9,0,4.58,1
P0085,2022-10-14,2022-12-21,68,272.19,248.4,41,7,0,4.18,0
P0086,2020-02-10,2020-08-27,199,104.25,108.33,42,4,0,4.39,1
P0087,2022-11-17,2023-08-20,276,242.6,239.99,34,5,0,4.04,1
P0088,2020-05-14,2020-07-08,55,238.42,201.8,13,1,0,5.0,1
P0089,2020-07-19,2021-06-19,335,227.73,271.75,38,1,0,4.41,1
P0090,2022-02-18,2022-04-01,42,236.66,253.15,48,3,0,4.62,1
P0091,2022-07-18,2023-06-28,345,144.79,132.63,39,8,0,4.19,0
P0092,2022-11-22,2023-10-30,342,238.08,291.83,26,2,1,4.25,0
P0093,2022-12-07,2023-02-10,65,172.54,159.38,48,4,1,5.0,1
P0094,2021-05-17,2021-12-05,202,77.04,62.69,28,2,0,5.0,0
P0095,2021-02-10,2021-03-31,49,202.87,208.46,21,5,0,4.41,0
P0096,2022-03-15,2023-02-28,350,157.79,166.15,14,9,0,4.22,1
P0097,2020-04-08,2021-01-26,293,267.94,289.32,34,1,0,4.98,1
P0098,2021-11-14,2022-05-04,171,185.68,205.08,27,5,0,4.17,1
P0099,2021-12-26,2022-06-16,172,202.28,217.94,36,9,0,3.5,1
P0100,2022-08-18,2022-12-17,121,219.46,235.11,21,1,0,4.49,1
P0101,2021-09-04,2022-08-21,351,186.63,170.57,21,9,0,3.87,1
P0102,2021-10-04,2022-08-17,317,194.81,174.92,18,8,0,4.75,1
P0103,2022-10-25,2023-06-26,244,242.18,269.15,13,4,0,4.78,1
P0104,2021-05-17,2021-08-05,80,146.68,152.04,44,10,0,4.4,1
P0105,2022-02-05,2022-08-06,182,164.91,185.2,6,5,0,3.65,0
P0106,2021-02-01,2021-09-04,215,151.64,112.81,49,5,0,5.0,1
P0107,2022-05-20,2022-08-20,92,271.84,251.42,29,6,1,5.0,1
P0108,2022-03-05,2022-10-10,219,164.92,212.09,43,7,0,4.06,0
P0109,2021-01-27,2021-06-30,154,192.84,208.82,13,8,0,3.39,1
P0110,2020-07-25,2021-01-20,179,169.97,177.5,26,8,0,4.64,1
P0111,2022-11-04,2023-10-13,343,184.59,204.19,47,2,0,4.6,1
P0112,2022-06-10,2022-09-05,87,163.13,217.17,8,9,1,3.37,0
P0113,2022-05-13,2023-04-12,334,223.14,290.01,30,7,0,3.84,1
P0114,2022-01-12,2022-08-09,209,147.96,112.9,33,4,0,4.76,1
P0115,2021-07-17,2022-02-01,199,132.38,108.34,49,4,0,4.96,1
P0116,2022-10-17,2023-10-07,355,172.08,130.43,38,8,1,5.0,1
P0117,2020-04-05,2021-01-30,300,160.09,142.15,27,4,1,5.0,1
P0118,2021-04-29,2021-07-21,83,133.11,134.2,41,6,0,4.4,0
P0119,2020-08-18,2020-12-26,130,183.83,190.5,15,5,0,4.45,1
P0120,2022-01-18,2022-11-07,293,116.99,90.14,10,3,0,4.8,1
P0121,2021-06-24,2021-09-14,82,286.39,206.17,22,10,0,4.52,1
P0122,2022-11-25,2023-02-22,89,125.37,110.99,25,2,0,4.54,1
P0123,2021-06-08,2021-10-23,137,167.69,190.73,46,9,0,4.13,1
P0124,2021-07-31,2021-09-03,34,179.82,209.23,40,10,0,3.02,0
P0125,2021-11-12,2022-03-24,132,284.23,356.96,45,9,0,3.84,1
P0126,2021-07-10,2022-02-20,225,113.48,112.93,42,1,0,5.0,1
P0127,2022-10-09,2023-07-27,291,207.1,232.83,38,10,0,4.15,1
P0128,2021-10-07,2021-12-22,76,251.86,290.01,21,3,1,4.42,0
P0129,2022-03-06,2023-02-09,340,184.51,170.76,41,8,0,4.62,1
P0130,2022-11-17,2023-10-20,337,141.51,149.74,29,6,0,4.24,1
P0131,2020-07-08,2020-12-28,173,194.6,213.83,42,5,0,3.95,1
P0132,2021-09-24,2022-07-19,298,276.36,238.67,16,5,0,5.0,1
P0133,2021-09-19,2022-02-19,153,169.21,210.89,27,6,0,3.88,1
P0134,2022-08-30,2023-01-12,135,271.81,270.23,46,7,0,3.89,1
P0135,2021-12-10,2022-06-15,187,212.93,215.71,26,1,0,4.73,0
P0136,2021-10-10,2022-04-04,176,261.63,224.45,25,9,1,4.26,0
P0137,2020-11-13,2021-05-06,174,210.93,186.27,31,3,0,5.0,1
P0138,2021-11-14,2022-04-12,149,175.78,117.87,35,4,0,5.0,1
P0139,2021-10-25,2022-10-08,348,281.94,284.28,10,10,0,4.14,1
P0140,2021-03-17,2022-01-15,304,211.26,290.67,31,1,0,4.21,1
P0141,2021-07-17,2021-11-15,121,208.32,176.49,44,10,0,5.0,1
P0142,2022-08-09,2022-11-04,87,240.38,347.69,38,3,1,4.1,1
P0143,2021-11-29,2022-08-14,258,246.21,298.44,16,2,0,4.45,1
P0144,2020-04-22,2020-09-15,146,240.64,223.55,49,2,0,4.8,1
P0145,2020-01-02,2020-12-14,347,132.46,133.01,11,1,0,4.99,0
P0146,2021-10-03,2022-08-07,308,168.14,164.73,14,8,0,4.22,1
P0147,2020-08-07,2021-01-10,156,167.17,209.96,49,3,0,4.22,1
P0148,2022-05-04,2022-10-09,158,161.05,173.54,21,3,0,4.94,1
P0149,2021-01-19,2021-04-16,87,156.39,184.12,30,6,1,3.88,0
P0150,2022-12-12,2023-05-12,151,166.45,175.39,25,8,1,4.25,0
P0151,2021-12-30,2022-01-29,30,216.8,213.16,32,9,0,4.42,1
P0152,2020-09-03,2021-05-29,268,224.72,235.72,6,9,0,3.8,1
P0153,2022-04-15,2023-02-28,319,199.92,187.71,47,4,0,4.48,1
P0154,2020-07-21,2020-11-23,125,178.7,139.77,5,5,0,4.89,1
P0155,2020-05-02,2020-10-04,155,263.77,295.97,40,2,0,4.42,0
P0156,2021-02-04,2021-07-01,147,195.42,151.42,30,9,0,4.9,1
P0157,2022-02-05,2022-04-23,77,246.85,236.9,33,8,0,3.98,1
P0158,2020-10-20,2021-02-15,118,171.53,160.22,25,3,0,4.85,1
P0159,2020-10-06,2021-06-29,266,220.69,241.98,15,9,0,4.67,1
P0160,2022-06-02,2023-03-30,301,267.1,329.8,44,3,0,4.35,1
P0161,2020-07-16,2021-02-19,218,69.56,82.13,15,9,0,3.91,1
P0162,2022-09-08,2023-04-17,221,167.25,184.11,40,2,0,4.95,1
P0163,2022-01-21,2022-04-29,98,229.69,207.99,43,10,0,4.05,1
P0164,2020-05-23,2021-03-26,307,260.64,253.47,44,9,0,3.83,1
P0165,2021-08-31,2022-06-03,276,210.16,199.78,39,8,0,4.35,1
P0166,2020-07-05,2020-10-18,105,202.48,188.2,38,9,0,4.32,1
P0167,2021-04-08,2021-10-08,183,280.53,263.59,28,5,0,4.14,0
P0168,2021-10-21,2022-04-12,173,263.7,246.73,26,2,0,5.0,1
P0169,2022-02-02,2022-05-28,115,156.57,145.45,9,8,0,4.66,1
P0170,2022-08-12,2023-03-14,214,205.82,235.21,37,6,0,3.84,0
P0171,2021-02-06,2021-12-17,314,218.01,183.52,40,8,0,4.65,1
P0172,2020-05-26,2021-01-30,249,285.93,254.64,24,5,0,4.99,1
P0173,2022-05-13,2022-08-19,98,243.3,185.52,23,10,0,4.65,1
P0174,2021-05-03,2021-07-18,76,194.82,236.19,39,2,0,4.58,0
P0175,2022-07-17,2022-11-17,123,211.0,185.79,47,6,0,4.57,1
P0176,2021-07-04,2022-03-28,267,105.81,116.29,21,5,0,3.96,1
P0177,2020-12-03,2021-07-24,233,248.43,266.14,49,5,0,4.22,1
P0178,2022-05-21,2023-01-23,247,232.29,278.24,47,1,0,4.33,0
P0179,2021-10-02,2021-12-09,68,260.61,252.4,38,2,0,4.84,1
P0180,2021-04-17,2021-08-24,129,192.8,165.4,13,8,0,4.81,1
P0181,2020-05-30,2021-04-13,318,206.4,158.24,30,3,0,4.77,1
P0182,2020-09-19,2021-06-29,283,175.93,102.45,6,10,0,4.88,0
P0183,2020-05-23,2021-01-29,251,142.6,146.05,13,3,0,4.33,1
P0184,2020-12-11,2021-02-01,52,169.89,189.65,13,8,0,3.75,0
P0185,2021-09-15,2022-06-21,279,109.03,116.75,44,8,0,4.23,0
P0186,2022-10-13,2022-11-21,39,245.73,189.34,21,2,0,4.9,1
P0187,2022-05-30,2023-03-01,275,91.26,105.48,5,8,1,4.11,1
P0188,2020-01-02,2020-12-21,354,301.61,270.02,29,1,0,4.7,1
P0189,2022-06-15,2022-10-22,129,111.79,96.59,47,6,0,4.87,1
P0190,2020-09-10,2021-07-26,319,274.99,245.27,44,8,0,3.95,0
P0191,2021-03-28,2021-10-23,209,154.6,156.42,46,3,0,4.49,1
P0192,2022-11-26,2023-08-05,252,228.05,177.26,29,8,0,5.0,1
P0193,2022-10-11,2023-07-17,279,162.38,161.48,43,1,0,5.0,1
P0194,2020-01-09,2020-07-03,176,283.69,301.96,39,9,0,3.85,0
P0195,2022-03-26,2022-07-29,125,202.19,235.77,7,9,0,3.88,1
P0196,2020-07-26,2021-05-08,286,253.68,260.38,41,5,0,4.81,1
P0197,2021-02-07,2022-01-27,354,203.8,162.85,48,10,0,4.61,1
P0198,2020-05-31,2020-07-03,33,217.65,222.51,48,4,0,4.47,1
P0199,2020-02-23,2020-04-08,45,230.81,194.1,34,6,0,4.49,1
P0200,2021-09-19,2022-07-25,309,173.56,144.46,42,7,0,4.9,1
